Site Occupation Location,SubOc1,New Comp,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
140,B,,EPC,9,850,1150,300,4.2,210
140,B,,P,10,1150,1300,150,1,50
140,B,,A,11,1300,1440,140,4.8,240
140,B,724,M,12,1440,1520,80,0.5,25
140,B,,M,12,1440,1520,80,2.3,115
141,A,,TF,4,-100,200,300,0.8,40
141,A,,EC,5,200,300,100,6.8,340
141,A,,MC,6,300,450,150,6.8,340
141,A,,LC,7,450,600,150,4.9,245
141,A,,Epi,8,600,850,250,0.2,10
141,A,,EPC,9,850,1150,300,5.2,260
141,B,,A,11,1300,1440,140,0.4,20
141,B,,M,12,1440,1520,80,0.2,10
142,A,,MF,2,-1100,-500,600,5.8,290
142,A,,LF,3,-500,-100,400,8.9,445
142,A,737,TF,4,-100,200,300,2.9,145
142,A,,TF,4,-100,200,300,5.6,280
142,A,,EC,5,200,300,100,25.2,1260
142,A,,MC,6,300,450,150,18.4,920
142,A,904,LC,7,450,600,150,2,100
142,A,,LC,7,450,600,150,1.8,90
142,A,734,Epi,8,600,850,250,1.3,65
142,A,735,Epi,8,600,850,250,5.3,265
142,A,,Epi,8,600,850,250,0.2,10
142,A,733,EPC,9,850,1150,300,9.9,495
142,A,,EPC,9,850,1150,300,5.3,265
142,A,732,P,10,1150,1300,150,1.3,65
142,A,,P,10,1150,1300,150,0.8,40
142,B,,M,12,1440,1520,80,2.9,145
143,A,,LF,3,-500,-100,400,0.9,45
143,B,,Epi,8,600,850,250,1.1,55
143,B,,EPC,9,850,1150,300,1,50
144,A,,LF,3,-500,-100,400,1.1,55
144,B,,Epi,8,600,850,250,1.3,65
144,B,,EPC,9,850,1150,300,1.3,65
147,A,,MF,2,-1100,-500,600,2.1,105
147,A,,LF,3,-500,-100,400,2.1,105
147,A,,TF,4,-100,200,300,3.9,195
147,A,588,EC,5,200,300,100,1,50
147,A,,EC,5,200,300,100,18.5,925
147,A,588,MC,6,300,450,150,1,50
147,A,,MC,6,300,450,150,18.5,925
147,A,,LC,7,450,600,150,2.5,125
147,A,593,Epi,8,600,850,250,2,100
147,A,,Epi,8,600,850,250,11.4,570
147,A,,EPC,9,850,1150,300,30.6,1530
147,A,594,P,10,1150,1300,150,0.2,10
147,A,596,P,10,1150,1300,150,31.2,1560
147,A,708,P,10,1150,1300,150,0.8,40
148,A,,MF,2,-1100,-500,600,1.7,85
148,A,,LF,3,-500,-100,400,1.7,85
148,A,905,TF,4,-100,200,300,1.3,65
