Site Occupation Location,Toponym,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Mound Count
40RE12,DeArmond,C,Late Dallas,,1400,1600,80,1
40RE17,Long Island,A,Dallas,,1300,1600,120,7
40RE19,Thief's Neck/Camp John Knox Mound,A,Dallas,,1300,1600,120,2
40RE69,Wright Bend,A,Dallas,,1300,1600,120,3
40RH6,Leuty,A,Hiwassee Island,,1050,1300,100,1
40sm25,Moss Mound,A,Dowd,,1100,1250,60,2
40SM43,Beasley Mounds/Dixon Springs,A,Spencer,,900,1100,80,5
40SM43,Beasley Mounds/Dixon Springs,A,Dowd,,1100,1250,150,5
40SM43,Beasley Mounds/Dixon Springs,A,Early Thruston,,1250,1350,40,5
40SU14,Castalian Springs,A,Spencer,,900,1100,80,4
40SU14,Castalian Springs,A,Dowd,,1100,1250,150,4
40SU14,Castalian Springs,A,Early Thruston,,1250,1350,40,4
40SU15,Rutheford-Kizer,A,Dowd,,1100,1250,60,5
40SU15,Rutheford-Kizer,A,Early Thruston,,1250,1350,100,5
40SU15,Rutheford-Kizer,A,Late Thruston,,1350,1450,40,5
40SU61,Moss-Wright Park,A,Dowd,,1100,1250,60,1
40SV1,McMahan Mound,A,Late Dallas,,1400,1600,80,1
40SV4,Henderson II,A,Dallas,,1300,1600,120,1
40SV9,McCrosky/Henderson I,A,Dallas,,1300,1600,120,1
40SW1,Gray Farm,A,Early Mississippian,,1000,1200,80,9
40SW1,Gray Farm,A,Middle Mississippian,,1200,1400,80,9
40SW13,LaGrange Plantation,A,Middle Mississippian,,1200,1400,80,3
40SY1,Chucalissa,A,Ensley,,950,1100,60,2
40SY1,Chucalissa,B,Mitchell,,1200,1250,50,2
40SY1,Chucalissa,B,Boxtown,,1250,1400,150,2
40SY1,Chucalissa,B,Walls,,1400,1550,60,2
40SY75,Rast,A,Late Mississippian,,1400,1600,80,1
40TP12,Wilder,A,Walls,,1400,1550,60,1
40TP13,Mound at Richardsons Landing,A,Late Mississippian,,1400,1600,80,1
40UN6,Hill Farm Stone mounds,A,Small Log,,1050,1250,80,3
40UN7,Wilson Farm Mound,A,Small Log,,1050,1250,80,1
40WH65,Cherry Creek Mound,A,Early Mississippian,,1000,1200,80,1
40WI1,Sellars/Sellars Farm/Lindsley Estate/Greenwood Earthworks,A,Spencer,,900,1100,80,3
40WI1,Sellars/Sellars Farm/Lindsley Estate/Greenwood Earthworks,A,Dowd,,1100,1250,150,3
40WI1,Sellars/Sellars Farm/Lindsley Estate/Greenwood Earthworks,A,Early Thruston,,1250,1350,100,3
