Site Occupation Location,Site Component,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
654,SVP-ETAN-353,A,Early Tanguche,7,750,900,50,1.4,30
656,SVP-ETAN-352,A,Early Tanguche,7,750,900,50,1.1,55
657,SVP-ETAN-60,A,Early Tanguche,7,750,900,50,0.5,50
658,SVP-SAL-10,A,Las Salinas,1,-3000,-1800,400,3.5,105
660,SVP-LSUCH-104,A,Late Suchimancillo,5,100,500,133.3333333,0.5,15
662,SVP-ETAN-59,A,Early Tanguche,7,750,900,50,1.1,110
662,SVP-LTAN-35,A,Late Tanguche,8,900,1100,66.66666667,0.7,70
663,SVP-CAY-34,A,Cayhuamarca,2,-1800,-500,433.3333333,0.55,55
663,SVP-LSUCH-106,B,Late Suchimancillo,5,100,500,133.3333333,0.9,90
664,SVP-LTAN-37,A,Late Tanguche,8,900,1100,66.66666667,0.25,25
665,SVP-LTAN-34,A,Late Tanguche,8,900,1100,66.66666667,0.7,70
665,SVP-ETR-18,A,Early Tambo Real,9,1100,1470,123.3333333,0.7,70
666,SVP-LSUCH-105,A,Late Suchimancillo,5,100,500,133.3333333,1,15
668,SVP-ETAN-61,A,Early Tanguche,7,750,900,50,1.8,25
668,SVP-LTAN-36,A,Late Tanguche,8,900,1100,66.66666667,1.8,25
673,SVP-ESUCH-84,A,Early Suchimancillo,4,-100,100,66.66666667,3,525
673,SVP-LSUCH-103,A,Late Suchimancillo,5,100,500,133.3333333,12.4,3100
675,SVP-ETAN-63,A,Early Tanguche,7,750,900,50,2,200
675,SVP-LTAN-28,A,Late Tanguche,8,900,1100,66.66666667,2,200
677,SVP-ETAN-439,A,Early Tanguche,7,750,900,50,1,50
678,SVP-ETAN-440,A,Early Tanguche,7,750,900,50,0.75,40
679,SVP-ETAN-345,A,Early Tanguche,7,750,900,50,1.7,85
680,SVP-LTR-5,A,Late Tambo Real,10,1470,1532,20.66666667,2.25,225
681,SVP-ETAN-340,A,Early Tanguche,7,750,900,50,0.25,5
682,SVP-LTAN-27,A,Late Tanguche,8,900,1100,66.66666667,2,200
683,SVP-ETAN-438,A,Early Tanguche,7,750,900,50,0.25,10
685,SVP-ETAN-344,A,Early Tanguche,7,750,900,50,0.5,10
687,SVP-VIN-25,A,Vinzos,3,-500,-100,133.3333333,0.5,50
688,SVP-ETAN-339,A,Early Tanguche,7,750,900,50,0.75,40
690,SVP-ETAN-337,A,Early Tanguche,7,750,900,50,0.25,5
691,SVP-ETAN-342,A,Early Tanguche,7,750,900,50,0.25,5
692,SVP-ETAN-351,A,Early Tanguche,7,750,900,50,1.5,35
693,SVP-ETAN-427,A,Early Tanguche,7,750,900,50,1.5,75
694,SVP-ETAN-432,A,Early Tanguche,7,750,900,50,0.1,5
695,SVP-ETAN-433,A,Early Tanguche,7,750,900,50,0.5,10
697,SVP-ETAN-425,A,Early Tanguche,7,750,900,50,0.5,25
